(u; l; n = 2, 10%, 25%, 50%, 75%, 90%, 100%)
16; 4; 0.775 0.717 0.789 0.678 0.639 0.602 0.589
32; 5; 0.805 0.803 0.776 0.696 0.635 0.628 0.568
64; 6; 0.789 0.819 0.756 0.701 0.627 0.585 0.555
128; 7; 0.82 0.785 0.777 0.72 0.629 0.603 0.58
256; 8; 0.81 0.783 0.783 0.737 0.612 0.605 0.559
512; 9; 0.824 0.793 0.758 0.713 0.645 0.603 0.55
1024; 10; 0.82 0.777 0.763 0.72 0.631 0.577 0.571
2048; 11; 0.823 0.812 0.748 0.684 0.66 0.607 0.539
4096; 12; 0.825 0.817 0.746 0.73 0.636 0.576 0.57
8192; 13; 0.799 0.798 0.764 0.703 0.618 0.605 0.585
16384; 14; 0.807 0.774 0.773 0.701 0.626 0.597 0.6
