n       |s      |theory |counter
-------------------------------------
0       |1      |0      |0
1       |1      |1      |1
2       |2      |3      |3
3       |4      |7      |7
4       |8      |15     |15
5       |16     |31     |31
6       |32     |63     |63
7       |64     |127    |127
8       |128    |255    |255
9       |256    |511    |511
10      |512    |1023   |1023
11      |1024   |2047   |2047
12      |2048   |4095   |4095
13      |4096   |8191   |8191
14      |8192   |16383  |16383
15      |16384  |32767  |32767
16      |32768  |65535  |65535
17      |65536  |131071 |131071
18      |131072 |262143 |262143
19      |262144 |524287 |524287
20      |524288 |1048575        |1048575
21      |1048576        |2097151        |2097151
22      |2097152        |4194303        |4194303
23      |4194304        |8388607        |8388607
24      |8388608        |16777215       |16777215
25      |16777216       |33554431       |33554431
26      |33554432       |67108863       |67108863
27      |67108864       |134217727      |134217727
28      |134217728      |268435455      |268435455
29      |268435456      |536870911      |536870911
30      |536870912      |1073741823     |1073741823
31      |1073741824     |2147483647     |2147483647
32      |2147483648     |4294967295     |4294967295
